/health-sciences/nursing.html,/graduate/socialwork.html,/business/accounting.html,/sciences-math/mathematics.html,/sciences-math/physics.html,/arts-humanities/performing-arts.html,/arts-humanities/africana-studies.html,proxy_session_id,/social-behavioral-sciences/psychology.html,/sciences-math/biology.html,/sciences-math/biochemistry.html,/social-behavioral-sciences/political-science.html,/arts-humanities/philosophy-religion.html,/business/business-analytics.html,/business/business-studies-program.html,/social-behavioral-sciences/social-work-bsw/index.html,/sciences-math/chemistry.html,/social-behavioral-sciences/sociology-anthropology.html,/health-sciences/public-health.html,/education/education-programs.html,/arts-humanities/communication-studies.html,/business/computer-information-systems.html,/arts-humanities/academic-programs.html,/business/computer-science.html,/sciences-math/sustainability.html,/graduate/accounting.html,/graduate/business-administration.html,/graduate/american-studies.html,/social-behavioral-sciences/criminal-justice.html,/arts-humanities/digital-studies.html,/social-behavioral-sciences/economics.html,/graduate/data-science_strategic-analytics.html,/graduate/counseling.html,/sciences-math/environmental-science.html,/graduate/coastal-zone-management.html,/business/esports-management.html,/business/entrepreneurship.html,/graduate/education.html,/graduate/environmental-science.html,/health-sciences/health-science.html,/graduate/mba-healthcare-administration.html,/health-sciences/exercise-science.html,/business/finance.html,/sciences-math/geology.html,/graduate/holocaust-genocide-studies.html,/graduate/instructional-technology.html,/graduate/nursing.html,/business/hemp-cannabis-business-management.html,/arts-humanities/historical-studies.html,/sciences-math/energy.html
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?UPAY_SITE_ID=1_14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?UPAY_SITE_ID=1_16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAvwuIe8b1zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5bQQHA1pM6lIjTHq2dj17AJhDRO-Cr8zmZvLNITFvaD08uZy1NbpNhrBfsdg_aem_6t4mj-PE5zIUFvHexjv9kA_23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?from=edurank.org_16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,/?from=edurank.org_3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?twclid=218yn5kmdexr5pp5kxyp10eow4_17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?twclid=222imka337gbrklo3kf178o9o0_18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?twclid=24xdoj1aon2j8mdvo6vr3q1pf1_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,/?twclid=25t6a6r6wzm9yzjdobik33rwz8_6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,/?twclid=2ezqqcx2twtin3gfnd1mkn9p1l_16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,7.0,1.0,2.0,2.0,3.0,3.0,/_0.0,7.0,8.0,4.0,3.0,1.0,4.0,11.0,4.0,3.0,0.0,3.0,4.0,8.0,12.0,3.0,1.0,1.0,4.0,8.0,2.0,9.0,2.0,0.0,2.0,7.0,4.0,0.0,1.0,3.0,6.0,5.0,12.0,3.0,7.0,1.0,0.0,3.0,3.0,5.0,1.0,1.0,0.0
10.0,2.0,1.0,0.0,4.0,0.0,1.0,/_1.0,4.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,1.0,3.0,4.0,4.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,6.0,2.0,2.0,1.0,0.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
49.0,41.0,15.0,26.0,10.0,13.0,5.0,/_10.0,18.0,19.0,8.0,14.0,11.0,11.0,22.0,14.0,8.0,15.0,8.0,31.0,22.0,19.0,20.0,22.0,17.0,4.0,37.0,5.0,28.0,16.0,5.0,18.0,20.0,21.0,4.0,7.0,8.0,57.0,3.0,55.0,12.0,16.0,14.0,10.0,53.0,11.0,16.0,7.0,11.0,3.0
54.0,35.0,12.0,12.0,11.0,13.0,7.0,/_11.0,29.0,30.0,4.0,15.0,7.0,6.0,22.0,21.0,16.0,13.0,9.0,52.0,18.0,16.0,22.0,11.0,5.0,7.0,24.0,6.0,18.0,11.0,5.0,14.0,19.0,22.0,7.0,2.0,7.0,57.0,15.0,66.0,5.0,24.0,14.0,3.0,43.0,8.0,10.0,9.0,14.0,1.0
51.0,33.0,16.0,12.0,7.0,9.0,9.0,/_12.0,30.0,25.0,9.0,12.0,7.0,8.0,31.0,26.0,5.0,14.0,4.0,51.0,31.0,25.0,16.0,13.0,7.0,1.0,20.0,8.0,48.0,10.0,11.0,9.0,16.0,18.0,4.0,5.0,5.0,35.0,4.0,50.0,3.0,31.0,10.0,2.0,32.0,4.0,7.0,5.0,6.0,0.0
70.0,24.0,17.0,15.0,15.0,12.0,6.0,/_13.0,36.0,22.0,12.0,19.0,7.0,19.0,38.0,27.0,19.0,18.0,4.0,45.0,13.0,31.0,27.0,25.0,8.0,13.0,26.0,3.0,24.0,10.0,8.0,8.0,21.0,27.0,8.0,11.0,12.0,59.0,7.0,43.0,12.0,20.0,19.0,6.0,28.0,6.0,14.0,12.0,11.0,0.0
68.0,24.0,9.0,5.0,12.0,19.0,2.0,/_14.0,34.0,26.0,8.0,12.0,4.0,9.0,28.0,14.0,9.0,23.0,8.0,33.0,23.0,23.0,22.0,12.0,8.0,10.0,20.0,8.0,32.0,14.0,7.0,17.0,31.0,31.0,11.0,7.0,9.0,48.0,9.0,50.0,9.0,18.0,12.0,7.0,38.0,3.0,17.0,10.0,6.0,1.0
53.0,20.0,13.0,6.0,10.0,30.0,7.0,/_15.0,23.0,21.0,18.0,11.0,11.0,9.0,32.0,14.0,8.0,5.0,13.0,33.0,17.0,14.0,30.0,15.0,6.0,5.0,19.0,11.0,43.0,21.0,6.0,8.0,26.0,14.0,13.0,10.0,7.0,45.0,8.0,35.0,8.0,19.0,13.0,6.0,34.0,10.0,12.0,5.0,11.0,2.0
39.0,19.0,15.0,10.0,10.0,15.0,5.0,/_16.0,28.0,16.0,4.0,8.0,7.0,8.0,17.0,12.0,8.0,10.0,5.0,12.0,20.0,19.0,16.0,12.0,7.0,7.0,11.0,5.0,23.0,14.0,5.0,7.0,18.0,15.0,5.0,3.0,4.0,31.0,9.0,44.0,4.0,16.0,8.0,4.0,20.0,3.0,12.0,9.0,9.0,1.0
37.0,19.0,10.0,4.0,3.0,15.0,4.0,/_17.0,23.0,8.0,8.0,2.0,6.0,4.0,9.0,11.0,6.0,7.0,9.0,16.0,4.0,9.0,9.0,11.0,1.0,5.0,16.0,2.0,23.0,7.0,0.0,3.0,24.0,26.0,3.0,3.0,8.0,29.0,5.0,29.0,3.0,17.0,8.0,6.0,17.0,4.0,16.0,13.0,3.0,1.0
24.0,20.0,5.0,9.0,5.0,11.0,1.0,/_18.0,17.0,18.0,8.0,7.0,4.0,3.0,14.0,8.0,6.0,4.0,3.0,20.0,16.0,13.0,13.0,12.0,3.0,3.0,7.0,1.0,23.0,12.0,6.0,7.0,17.0,15.0,3.0,4.0,7.0,28.0,6.0,34.0,5.0,15.0,9.0,4.0,12.0,4.0,7.0,7.0,7.0,0.0
45.0,11.0,6.0,4.0,4.0,8.0,4.0,/_19.0,20.0,3.0,9.0,10.0,5.0,4.0,18.0,12.0,3.0,6.0,8.0,24.0,5.0,9.0,11.0,11.0,4.0,4.0,5.0,3.0,24.0,9.0,12.0,7.0,13.0,14.0,4.0,8.0,4.0,15.0,5.0,32.0,2.0,15.0,6.0,3.0,9.0,3.0,3.0,11.0,10.0,0.0
10.0,1.0,1.0,0.0,0.0,1.0,1.0,/_2.0,0.0,3.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0,0.0,1.0,2.0,1.0,2.0,4.0,0.0
36.0,22.0,4.0,7.0,6.0,9.0,2.0,/_20.0,12.0,13.0,10.0,10.0,8.0,5.0,22.0,7.0,7.0,0.0,3.0,25.0,21.0,9.0,10.0,7.0,3.0,5.0,14.0,1.0,23.0,10.0,7.0,4.0,9.0,14.0,4.0,2.0,8.0,21.0,2.0,37.0,4.0,11.0,6.0,2.0,13.0,3.0,9.0,7.0,8.0,0.0
25.0,15.0,13.0,7.0,2.0,10.0,3.0,/_21.0,14.0,8.0,3.0,9.0,3.0,13.0,27.0,15.0,5.0,4.0,5.0,11.0,10.0,12.0,13.0,9.0,3.0,3.0,8.0,4.0,13.0,7.0,5.0,4.0,16.0,10.0,6.0,8.0,8.0,27.0,5.0,37.0,6.0,14.0,10.0,1.0,12.0,4.0,11.0,12.0,2.0,1.0
35.0,12.0,15.0,7.0,2.0,6.0,4.0,/_22.0,23.0,11.0,10.0,13.0,3.0,2.0,14.0,9.0,7.0,2.0,3.0,15.0,12.0,13.0,9.0,13.0,2.0,9.0,13.0,5.0,8.0,10.0,2.0,4.0,13.0,6.0,0.0,2.0,3.0,20.0,4.0,28.0,3.0,14.0,7.0,3.0,12.0,1.0,5.0,8.0,10.0,1.0
18.0,8.0,4.0,3.0,2.0,4.0,0.0,/_23.0,12.0,7.0,2.0,8.0,6.0,4.0,11.0,5.0,1.0,3.0,4.0,14.0,11.0,2.0,2.0,7.0,1.0,3.0,5.0,12.0,18.0,2.0,2.0,0.0,7.0,4.0,2.0,4.0,4.0,14.0,3.0,12.0,1.0,4.0,7.0,1.0,11.0,0.0,4.0,4.0,1.0,2.0
4.0,2.0,0.0,0.0,2.0,0.0,0.0,/_3.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
9.0,0.0,1.0,0.0,3.0,1.0,2.0,/_4.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,0.0,4.0,9.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0
